Wig,Radiation,Windspeed,HeatLoss,SkinTemp,Insulation,Clo,Trial
HighCurv,Off,0.3,114.9,38,0.322,2.08,2
HighCurv,Off,1,94.3,34,0.265,1.71,2
HighCurv,Off,2.5,164.9,34,0.153,0.99,2
HighCurv,On,0.3,91.1,38,0.399,2.58,2
HighCurv,On,1,76.5,34,0.322,2.08,2
HighCurv,On,2.5,153.4,34,0.162,1.05,2
LowCurv,Off,0.3,88,38,0.419,2.7,2
LowCurv,Off,1,92.1,34,0.27,1.74,2
LowCurv,Off,2.5,145.3,34,0.173,1.11,2
LowCurv,On,0.3,21.7,38,1.661,10.72,2
LowCurv,On,1,27,34,0.902,5.82,2
LowCurv,On,2.5,99.1,34,0.25,1.62,2
MidCurv,Off,0.3,86.4,38,0.428,2.76,2
MidCurv,Off,1,87.1,34,0.286,1.85,2
MidCurv,Off,2.5,151,34,0.166,1.07,2
MidCurv,On,0.3,44.4,38,0.816,5.27,2
MidCurv,On,1,48.3,34,0.508,3.27,2
MidCurv,On,2.5,119.1,34,0.211,1.36,2
NoWig,Off,0.3,329,38,0.112,0.72,2
NoWig,Off,1,246.4,34,0.101,0.65,2
NoWig,Off,2.5,449.5,34,0.056,0.36,2
NoWig,On,0.3,160.8,38,0.224,1.44,2
NoWig,On,1,84.1,34,0.292,1.88,2
NoWig,On,2.5,280.3,34,0.089,0.57,2
