Datetime,Trial,Wig,Thermocouple,temp,Radiation,WindSpeed
2018-10-23T13:52:16Z,1,Nude,2,40.5,On,1
2018-10-23T13:52:16Z,1,Nude,3,47.7,On,1
2018-10-23T13:52:16Z,1,Nude,4,42.2,On,1
2018-10-23T13:52:46Z,1,Nude,1,29.5,On,1
2018-10-23T13:52:46Z,1,Nude,2,40.3,On,1
2018-10-23T13:52:46Z,1,Nude,3,47.2,On,1
2018-10-23T13:52:46Z,1,Nude,4,42.2,On,1
2018-10-23T13:53:16Z,1,Nude,1,29.6,On,1
2018-10-23T13:53:16Z,1,Nude,2,40.5,On,1
2018-10-23T13:53:16Z,1,Nude,3,47.8,On,1
2018-10-23T13:53:16Z,1,Nude,4,42,On,1
2018-10-23T13:53:46Z,1,Nude,1,29.5,On,1
2018-10-23T13:53:46Z,1,Nude,2,40.5,On,1
2018-10-23T13:53:46Z,1,Nude,3,47.7,On,1
2018-10-23T13:53:46Z,1,Nude,4,42,On,1
2018-10-23T13:54:16Z,1,Nude,1,29.3,On,1
2018-10-23T13:54:16Z,1,Nude,2,40.5,On,1
2018-10-23T13:54:16Z,1,Nude,3,47.8,On,1
2018-10-23T13:54:16Z,1,Nude,4,42,On,1
2018-10-23T13:54:46Z,1,Nude,1,29.5,On,1
2018-10-23T13:54:46Z,1,Nude,2,40.4,On,1
2018-10-23T13:54:46Z,1,Nude,3,47.8,On,1
2018-10-23T13:54:46Z,1,Nude,4,42.2,On,1
2018-10-23T13:55:16Z,1,Nude,1,28.9,On,1
2018-10-23T13:55:16Z,1,Nude,2,40.6,On,1
2018-10-23T13:55:16Z,1,Nude,3,47.3,On,1
2018-10-23T13:55:16Z,1,Nude,4,42.2,On,1
2018-10-23T13:55:46Z,1,Nude,1,29.4,On,1
2018-10-23T13:55:46Z,1,Nude,2,40.5,On,1
2018-10-23T13:55:46Z,1,Nude,3,47.7,On,1
2018-10-23T13:55:46Z,1,Nude,4,42,On,1
2018-10-23T13:56:16Z,1,Nude,1,29.2,On,1
2018-10-23T13:56:16Z,1,Nude,2,40.5,On,1
2018-10-23T13:56:16Z,1,Nude,3,47.8,On,1
2018-10-23T13:56:16Z,1,Nude,4,42,On,1
2018-10-23T13:56:46Z,1,Nude,1,29.2,On,1
2018-10-23T13:56:46Z,1,Nude,2,40.6,On,1
2018-10-23T13:56:46Z,1,Nude,3,47.7,On,1
2018-10-23T13:56:46Z,1,Nude,4,42.3,On,1
2018-10-23T13:57:16Z,1,Nude,1,29.2,On,1
2018-10-23T13:57:16Z,1,Nude,2,40.4,On,1
2018-10-23T13:57:16Z,1,Nude,3,47.7,On,1
2018-10-23T13:57:16Z,1,Nude,4,41.9,On,1
2018-10-23T13:57:46Z,1,Nude,1,29.2,On,1
2018-10-23T13:57:46Z,1,Nude,2,40.4,On,1
2018-10-23T13:57:46Z,1,Nude,3,47.7,On,1
2018-10-23T13:57:46Z,1,Nude,4,41.9,On,1
2018-10-23T13:58:16Z,1,Nude,1,29.3,On,1
2018-10-23T13:58:16Z,1,Nude,2,40.3,On,1
2018-10-23T13:58:16Z,1,Nude,3,47.1,On,1
2018-10-23T13:58:16Z,1,Nude,4,41.7,On,1
2018-10-23T13:58:46Z,1,Nude,1,29.2,On,1
2018-10-23T13:58:46Z,1,Nude,2,40.2,On,1
2018-10-23T13:58:46Z,1,Nude,3,47.2,On,1
2018-10-23T13:58:46Z,1,Nude,4,41.8,On,1
2018-10-23T13:59:16Z,1,Nude,1,29.2,On,1
2018-10-23T13:59:16Z,1,Nude,2,40.2,On,1
2018-10-23T13:59:16Z,1,Nude,3,47.7,On,1
2018-10-23T13:59:16Z,1,Nude,4,41.8,On,1
2018-10-23T13:59:46Z,1,Nude,1,29.2,On,1
2018-10-23T13:59:46Z,1,Nude,2,40.2,On,1
2018-10-23T13:59:46Z,1,Nude,3,47.5,On,1
2018-10-23T13:59:46Z,1,Nude,4,41.9,On,1
2018-10-23T14:00:16Z,1,Nude,1,29.2,On,1
2018-10-23T14:00:16Z,1,Nude,2,40.1,On,1
2018-10-23T14:00:16Z,1,Nude,3,47.6,On,1
2018-10-23T14:00:16Z,1,Nude,4,41.7,On,1
2018-10-23T14:00:46Z,1,Nude,1,29.2,On,1
2018-10-23T14:00:46Z,1,Nude,2,40,On,1
2018-10-23T14:00:46Z,1,Nude,3,47.6,On,1
2018-10-23T14:00:46Z,1,Nude,4,41.5,On,1
2018-10-23T14:01:16Z,1,Nude,1,29.2,On,1
2018-10-23T14:01:16Z,1,Nude,2,40,On,1
2018-10-23T14:01:16Z,1,Nude,3,47.6,On,1
2018-10-23T14:01:16Z,1,Nude,4,41.5,On,1
2018-10-23T14:01:46Z,1,Nude,1,29.2,On,1
2018-10-23T14:01:46Z,1,Nude,2,40.3,On,1
2018-10-23T14:01:46Z,1,Nude,3,47,On,1
2018-10-23T14:01:46Z,1,Nude,4,41.6,On,1
2018-10-23T14:02:16Z,1,Nude,1,29.1,On,1
2018-10-23T14:02:16Z,1,Nude,2,40,On,1
2018-10-23T14:02:16Z,1,Nude,3,47,On,1
2018-10-23T14:02:16Z,1,Nude,4,42,On,1
2018-10-23T14:02:46Z,1,Nude,1,29.1,On,1
2018-10-23T14:02:46Z,1,Nude,2,40,On,1
2018-10-23T14:02:46Z,1,Nude,3,47.6,On,1
2018-10-23T14:02:46Z,1,Nude,4,41.8,On,1
2018-10-23T14:03:16Z,1,Nude,1,28.9,On,1
2018-10-23T14:03:16Z,1,Nude,2,40.2,On,1
2018-10-23T14:03:16Z,1,Nude,3,47.5,On,1
2018-10-23T14:03:16Z,1,Nude,4,41.9,On,1
2018-10-23T14:03:46Z,1,Nude,1,29.1,On,1
2018-10-23T14:03:46Z,1,Nude,2,40.1,On,1
2018-10-23T14:03:46Z,1,Nude,3,47.6,On,1
2018-10-23T14:03:46Z,1,Nude,4,41.8,On,1
2018-10-23T14:04:16Z,1,Nude,1,29.2,On,1
2018-10-23T14:04:16Z,1,Nude,2,40.3,On,1
2018-10-23T14:04:16Z,1,Nude,3,47.7,On,1
2018-10-23T14:04:16Z,1,Nude,4,41.9,On,1
2018-10-23T14:04:46Z,1,Nude,1,28.9,On,1
2018-10-23T14:04:46Z,1,Nude,2,40.2,On,1
2018-10-23T14:04:46Z,1,Nude,3,47.5,On,1
2018-10-23T14:04:46Z,1,Nude,4,41.6,On,1
2018-10-23T14:05:16Z,1,Nude,1,29.1,On,1
2018-10-23T14:05:16Z,1,Nude,2,40.2,On,1
2018-10-23T14:05:16Z,1,Nude,3,47.3,On,1
2018-10-23T14:05:16Z,1,Nude,4,41.9,On,1
2018-10-23T14:05:46Z,1,Nude,1,29.1,On,1
2018-10-23T14:05:46Z,1,Nude,2,40.2,On,1
2018-10-23T14:05:46Z,1,Nude,3,47.6,On,1
2018-10-23T14:05:46Z,1,Nude,4,41.4,On,1
2018-10-23T14:06:16Z,1,Nude,1,29.1,On,1
2018-10-23T14:06:16Z,1,Nude,2,40.2,On,1
2018-10-23T14:06:16Z,1,Nude,3,47.4,On,1
2018-10-23T14:06:16Z,1,Nude,4,41.6,On,1
2018-10-23T14:06:46Z,1,Nude,1,29,On,1
2018-10-23T14:06:46Z,1,Nude,2,40.1,On,1
2018-10-23T14:06:46Z,1,Nude,3,47.1,On,1
2018-10-23T14:06:46Z,1,Nude,4,41.2,On,1
2018-10-23T14:07:16Z,1,Nude,1,29,On,1
2018-10-23T14:07:16Z,1,Nude,2,40.3,On,1
2018-10-23T14:07:16Z,1,Nude,3,47.1,On,1
2018-10-23T14:07:16Z,1,Nude,4,41.2,On,1
2018-10-23T14:07:46Z,1,Nude,1,28.9,On,1
2018-10-23T14:07:46Z,1,Nude,2,40,On,1
2018-10-23T14:07:46Z,1,Nude,3,47,On,1
2018-10-23T14:07:46Z,1,Nude,4,41.1,On,1
2018-10-23T14:08:16Z,1,Nude,1,28.9,On,1
2018-10-23T14:08:16Z,1,Nude,2,39.8,On,1
2018-10-23T14:08:16Z,1,Nude,3,47.1,On,1
2018-10-23T14:08:16Z,1,Nude,4,41.2,On,1
2018-10-23T14:08:46Z,1,Nude,1,29.1,On,1
2018-10-23T14:08:46Z,1,Nude,2,40,On,1
2018-10-23T14:08:46Z,1,Nude,3,47.2,On,1
2018-10-23T14:08:46Z,1,Nude,4,41,On,1
2018-10-23T14:09:16Z,1,Nude,1,29,On,1
2018-10-23T14:09:16Z,1,Nude,2,40,On,1
2018-10-23T14:09:16Z,1,Nude,3,47.2,On,1
2018-10-23T14:09:16Z,1,Nude,4,41.1,On,1
2018-10-23T14:09:46Z,1,Nude,1,29.1,On,1
2018-10-23T14:09:46Z,1,Nude,2,40,On,1
2018-10-23T14:09:46Z,1,Nude,3,47.2,On,1
2018-10-23T14:09:46Z,1,Nude,4,41.1,On,1
2018-10-23T14:10:16Z,1,Nude,1,29,On,1
2018-10-23T14:10:16Z,1,Nude,2,40,On,1
2018-10-23T14:10:16Z,1,Nude,3,47.4,On,1
2018-10-23T14:10:16Z,1,Nude,4,41.1,On,1
2018-10-23T14:10:46Z,1,Nude,1,29,On,1
2018-10-23T14:10:46Z,1,Nude,2,39.8,On,1
2018-10-23T14:10:46Z,1,Nude,3,47.3,On,1
2018-10-23T14:10:46Z,1,Nude,4,41.2,On,1
2018-10-23T14:11:16Z,1,Nude,1,29,On,1
