Datetime,Trial,Wig,Thermocouple,temp,Radiation,WindSpeed
2018-10-23T15:06:16Z,1,Nude,2,34.2,On,2.5
2018-10-23T15:06:16Z,1,Nude,3,39.4,On,2.5
2018-10-23T15:06:16Z,1,Nude,4,38.9,On,2.5
2018-10-23T15:06:46Z,1,Nude,1,25.5,On,2.5
2018-10-23T15:06:46Z,1,Nude,2,34.2,On,2.5
2018-10-23T15:06:46Z,1,Nude,3,39.2,On,2.5
2018-10-23T15:06:46Z,1,Nude,4,38.7,On,2.5
2018-10-23T15:07:16Z,1,Nude,1,25.1,On,2.5
2018-10-23T15:07:16Z,1,Nude,2,34.4,On,2.5
2018-10-23T15:07:16Z,1,Nude,3,39.2,On,2.5
2018-10-23T15:07:16Z,1,Nude,4,39.1,On,2.5
2018-10-23T15:07:46Z,1,Nude,1,25.1,On,2.5
2018-10-23T15:07:46Z,1,Nude,2,34.5,On,2.5
2018-10-23T15:07:46Z,1,Nude,3,39,On,2.5
2018-10-23T15:07:46Z,1,Nude,4,38.7,On,2.5
2018-10-23T15:08:16Z,1,Nude,1,25.2,On,2.5
2018-10-23T15:08:16Z,1,Nude,2,34.3,On,2.5
2018-10-23T15:08:16Z,1,Nude,3,39.2,On,2.5
2018-10-23T15:08:16Z,1,Nude,4,38.9,On,2.5
2018-10-23T15:08:46Z,1,Nude,1,25.5,On,2.5
2018-10-23T15:08:46Z,1,Nude,2,34.2,On,2.5
2018-10-23T15:08:46Z,1,Nude,3,39.2,On,2.5
2018-10-23T15:08:46Z,1,Nude,4,38.8,On,2.5
2018-10-23T15:09:16Z,1,Nude,1,25.2,On,2.5
2018-10-23T15:09:16Z,1,Nude,2,34.3,On,2.5
2018-10-23T15:09:16Z,1,Nude,3,39,On,2.5
2018-10-23T15:09:16Z,1,Nude,4,39,On,2.5
2018-10-23T15:09:46Z,1,Nude,1,25.3,On,2.5
2018-10-23T15:09:46Z,1,Nude,2,34.5,On,2.5
2018-10-23T15:09:46Z,1,Nude,3,39.2,On,2.5
2018-10-23T15:09:46Z,1,Nude,4,38.9,On,2.5
2018-10-23T15:10:16Z,1,Nude,1,25.3,On,2.5
2018-10-23T15:10:16Z,1,Nude,2,34.5,On,2.5
2018-10-23T15:10:16Z,1,Nude,3,39.2,On,2.5
2018-10-23T15:10:16Z,1,Nude,4,38.7,On,2.5
2018-10-23T15:10:46Z,1,Nude,1,25.4,On,2.5
2018-10-23T15:10:46Z,1,Nude,2,34.5,On,2.5
2018-10-23T15:10:46Z,1,Nude,3,39.1,On,2.5
2018-10-23T15:10:46Z,1,Nude,4,38.9,On,2.5
2018-10-23T15:11:16Z,1,Nude,1,25.3,On,2.5
2018-10-23T15:11:16Z,1,Nude,2,34.5,On,2.5
2018-10-23T15:11:16Z,1,Nude,3,39.4,On,2.5
2018-10-23T15:11:16Z,1,Nude,4,38.8,On,2.5
2018-10-23T15:11:46Z,1,Nude,1,25.2,On,2.5
2018-10-23T15:11:46Z,1,Nude,2,34.7,On,2.5
2018-10-23T15:11:46Z,1,Nude,3,39.3,On,2.5
2018-10-23T15:11:46Z,1,Nude,4,38.8,On,2.5
2018-10-23T15:12:16Z,1,Nude,1,25.3,On,2.5
2018-10-23T15:12:16Z,1,Nude,2,34.5,On,2.5
2018-10-23T15:12:16Z,1,Nude,3,39.2,On,2.5
2018-10-23T15:12:16Z,1,Nude,4,38.4,On,2.5
2018-10-23T15:12:46Z,1,Nude,1,25.4,On,2.5
2018-10-23T15:12:46Z,1,Nude,2,34.3,On,2.5
2018-10-23T15:12:46Z,1,Nude,3,39.5,On,2.5
2018-10-23T15:12:46Z,1,Nude,4,38.8,On,2.5
2018-10-23T15:13:16Z,1,Nude,1,25.4,On,2.5
2018-10-23T15:13:16Z,1,Nude,2,34.2,On,2.5
2018-10-23T15:13:16Z,1,Nude,3,39.3,On,2.5
2018-10-23T15:13:16Z,1,Nude,4,38.7,On,2.5
2018-10-23T15:13:46Z,1,Nude,1,25.5,On,2.5
2018-10-23T15:13:46Z,1,Nude,2,34,On,2.5
2018-10-23T15:13:46Z,1,Nude,3,39.3,On,2.5
2018-10-23T15:13:46Z,1,Nude,4,38.6,On,2.5
2018-10-23T15:14:16Z,1,Nude,1,25.6,On,2.5
2018-10-23T15:14:16Z,1,Nude,2,34.2,On,2.5
2018-10-23T15:14:16Z,1,Nude,3,39.1,On,2.5
2018-10-23T15:14:16Z,1,Nude,4,38.5,On,2.5
2018-10-23T15:14:46Z,1,Nude,1,25.4,On,2.5
2018-10-23T15:14:46Z,1,Nude,2,34.5,On,2.5
2018-10-23T15:14:46Z,1,Nude,3,39,On,2.5
2018-10-23T15:14:46Z,1,Nude,4,38.8,On,2.5
2018-10-23T15:15:16Z,1,Nude,1,25.8,On,2.5
2018-10-23T15:15:16Z,1,Nude,2,34.1,On,2.5
2018-10-23T15:15:16Z,1,Nude,3,39.4,On,2.5
2018-10-23T15:15:16Z,1,Nude,4,38.7,On,2.5
2018-10-23T15:15:46Z,1,Nude,1,25.5,On,2.5
2018-10-23T15:15:46Z,1,Nude,2,34.2,On,2.5
2018-10-23T15:15:46Z,1,Nude,3,39.4,On,2.5
2018-10-23T15:15:46Z,1,Nude,4,38.5,On,2.5
2018-10-23T16:06:46Z,1,Nude,1,25.6,Off,2.5
2018-10-23T16:06:46Z,1,Nude,2,28.5,Off,2.5
2018-10-23T16:06:46Z,1,Nude,3,28.7,Off,2.5
2018-10-23T16:06:46Z,1,Nude,4,30.2,Off,2.5
2018-10-23T16:07:16Z,1,Nude,1,26,Off,2.5
2018-10-23T16:07:16Z,1,Nude,2,28.3,Off,2.5
2018-10-23T16:07:16Z,1,Nude,3,29,Off,2.5
2018-10-23T16:07:16Z,1,Nude,4,30.2,Off,2.5
2018-10-23T16:07:46Z,1,Nude,1,25.9,Off,2.5
